x_m,y_m,velocity_mps,heading_rad
15.1198,77.8006,7.5897,0.0283
16.1413,77.8294,7.4819,0.0166
17.1575,77.8344,7.4121,-0.0062
18.1685,77.8168,7.3752,-0.0280
19.1744,77.7779,7.3665,-0.0486
20.1755,77.7192,7.3810,-0.0680
21.1720,77.6418,7.4138,-0.0862
22.1641,77.5473,7.4598,-0.1032
23.1519,77.4368,7.5150,-0.1189
24.1357,77.3118,7.5681,-0.1333
25.1156,77.1736,7.6088,-0.1463
26.0920,77.0235,7.6501,-0.1581
27.0648,76.8629,7.6921,-0.1685
28.0345,76.6930,7.7374,-0.1776
29.0010,76.5153,7.7857,-0.1854
29.9648,76.3310,7.8325,-0.1917
30.9258,76.1416,7.8743,-0.1968
31.8845,75.9483,7.9080,-0.2005
32.8409,75.7525,7.9316,-0.2028
33.7955,75.5553,7.9437,-0.2040
34.7489,75.3579,7.9436,-0.2039
35.7018,75.1612,7.9316,-0.2026
36.6546,74.9664,7.9085,-0.2001
37.6081,74.7746,7.8760,-0.1964
38.5628,74.5869,7.8366,-0.1914
39.5193,74.4042,7.7934,-0.1853
40.4781,74.2278,7.7502,-0.1780
41.4399,74.0587,7.7105,-0.1695
42.4053,73.8980,7.6711,-0.1599
43.3749,73.7467,7.6292,-0.1491
44.3492,73.6060,7.5892,-0.1372
45.3289,73.4769,7.5571,-0.1242
46.3145,73.3606,7.5376,-0.1102
47.3067,73.2580,7.5348,-0.0952
48.3060,73.1703,7.5632,-0.0793
49.3130,73.0986,7.6131,-0.0631
50.3276,73.0426,7.6788,-0.0487
51.3479,72.9994,7.7584,-0.0376
52.3719,72.9658,7.8801,-0.0297
53.3977,72.9385,8.1270,-0.0251
54.4233,72.9143,8.2259,-0.0236
55.4466,72.8901,8.0025,-0.0254
56.4658,72.8624,7.5112,-0.0304
57.4788,72.8282,6.8111,-0.0392
58.4862,72.7831,5.8978,-0.0553
59.5062,72.7159,4.7903,-0.0859
60.5525,72.6053,3.7896,-0.1762
61.5056,72.3600,3.0382,-0.4349
62.1717,71.8530,2.5803,-0.9226
62.4690,71.0879,2.4099,-1.4208
62.4226,70.1923,2.5326,-1.7816
62.0810,69.2746,2.9464,-2.0208
61.5457,68.3771,3.6310,-2.1566
60.9232,67.5297,4.4784,-2.2379
60.2603,66.7450,5.1403,-2.3064
59.5597,66.0231,5.5847,-2.3760
58.8233,65.3638,5.8901,-2.4468
58.0525,64.7669,6.0217,-2.5183
57.2492,64.2322,5.9483,-2.5900
56.4151,63.7594,5.7722,-2.6615
55.5517,63.3483,5.7329,-2.7325
54.6609,62.9988,5.7808,-2.8023
53.7444,62.7105,5.8679,-2.8708
52.8037,62.4833,5.9743,-2.9371
51.8417,62.3159,6.0882,-2.9995
50.8628,62.2057,6.1938,-3.0574
49.8713,62.1496,6.2877,-3.1111
48.8719,62.1449,6.4183,3.1222
47.8690,62.1885,6.6175,3.0754
46.8671,62.2777,6.8384,3.0314
45.8706,62.4096,7.0401,2.9897
44.8843,62.5812,7.1897,2.9503
43.9118,62.7889,7.2600,2.9179
42.9522,63.0208,7.2307,2.8997
42.0011,63.2603,7.1101,2.8989
41.0542,63.4908,6.9303,2.9157
40.1071,63.6955,6.7162,2.9506
39.1557,63.8579,6.3588,3.0035
38.1956,63.9612,5.8141,3.0740
37.2225,63.9889,5.1437,-3.1227
36.2320,63.9241,4.3786,-3.0232
35.2263,63.7515,3.5925,-2.9130
34.2438,63.4615,2.9598,-2.7849
33.3357,63.0470,2.5248,-2.6248
32.5533,62.5007,2.3063,-2.4158
31.9480,61.8156,2.2874,-2.1518
31.5615,60.9901,2.4496,-1.8839
31.3787,60.0570,2.7862,-1.6727
31.3642,59.0611,3.3021,-1.5192
31.4825,58.0475,3.9768,-1.4053
31.6984,57.0605,4.7280,-1.3143
31.9875,56.1224,5.4446,-1.2344
32.3396,55.2270,6.0674,-1.1634
32.7453,54.3664,6.5327,-1.1033
33.1951,53.5325,6.9375,-1.0552
33.6798,52.7175,7.2884,-1.0199
34.1899,51.9133,7.6476,-0.9976
34.7160,51.1120,7.8186,-0.9884
35.2488,50.3056,7.6602,-0.9918
35.7788,49.4862,7.1945,-1.0074
36.2971,48.6461,6.4515,-1.0223
36.8106,47.7975,5.6074,-1.0065
37.3504,46.9818,4.7577,-0.9386
37.9496,46.2427,3.8829,-0.8109
38.6410,45.6238,2.9721,-0.6188
39.4576,45.1689,2.1705,-0.3838
40.4086,44.9099,1.5880,-0.1616
41.4375,44.8461,1.5928,0.0295
42.4762,44.9710,2.1446,0.2108
43.4567,45.2782,2.9143,0.4047
44.3166,45.7594,3.7041,0.6045
45.0560,46.3830,4.3453,0.7658
45.7142,47.1032,4.8199,0.8633
46.3313,47.8740,5.1888,0.8976
46.9472,48.6493,5.4536,0.8709
47.6018,49.3830,5.6872,0.7922
48.3214,50.0425,5.8116,0.6919
49.1010,50.6251,5.7405,0.5951
49.9315,51.1324,5.5242,0.5047
